Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
EPX,Travel Agency,Online,Cancellation Plan,16,SINGAPORE,10.0,0.0,,56,0
EPX,Travel Agency,Online,Cancellation Plan,3,HONG KONG,38.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,110,UNITED STATES,-78.0,0.0,,37,0
C2B,Airlines,Online,Silver Plan,42,SINGAPORE,56.5,14.13,M,34,0
EPX,Travel Agency,Online,Cancellation Plan,1,MEXICO,12.0,0.0,,31,0
EPX,Travel Agency,Online,Cancellation Plan,18,CHINA,51.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,44,PHILIPPINES,20.0,0.0,,36,0
C2B,Airlines,Online,Annual Silver Plan,379,SINGAPORE,216.0,54.0,F,31,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,,41,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,MALAYSIA,49.5,29.7,,38,0
EPX,Travel Agency,Online,Cancellation Plan,2,MYANMAR,10.0,0.0,,25,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,THAILAND,29.7,17.82,,31,0
EPX,Travel Agency,Online,Cancellation Plan,94,SINGAPORE,38.0,0.0,,24,0
JZI,Airlines,Online,Basic Plan,11,CHINA,26.0,9.1,M,46,0
EPX,Travel Agency,Online,Cancellation Plan,10,UNITED KINGDOM,65.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,NETHERLANDS,0.0,29.7,,31,0
EPX,Travel Agency,Online,Cancellation Plan,30,SINGAPORE,10.0,0.0,,37,0
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,48.0,12.0,F,40,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,M,66,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,"KOREA, REPUBLIC OF",19.8,11.88,,31,0
EPX,Travel Agency,Online,Cancellation Plan,68,CHINA,77.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,SOUTH AFRICA,23.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,304,VIET NAM,14.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,22,"TAIWAN, PROVINCE OF CHINA",29.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,10,THAILAND,22.0,7.7,M,51,0
EPX,Travel Agency,Online,Cancellation Plan,52,SINGAPORE,10.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,DENMARK,148.5,89.1,,37,0
JZI,Airlines,Online,Basic Plan,4,PHILIPPINES,18.0,6.3,F,36,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,20.25,5.06,F,37,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,UNITED KINGDOM,29.7,17.82,,43,0
EPX,Travel Agency,Online,Cancellation Plan,14,THAILAND,19.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,55,CHINA,-77.0,0.0,,46,0
C2B,Airlines,Online,Silver Plan,25,SINGAPORE,49.5,12.38,F,30,0
RAB,Airlines,Online,Value Plan,19,BRUNEI DARUSSALAM,15.0,6.0,,22,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,27,AUSTRALIA,0.0,65.34,,31,0
EPX,Travel Agency,Online,Cancellation Plan,14,SINGAPORE,32.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,12,CHINA,27.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,40,PHILIPPINES,30.0,10.5,M,58,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,94,UNITED KINGDOM,110.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,38,AUSTRALIA,69.3,41.58,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,"TAIWAN, PROVINCE OF CHINA",51.0,0.0,,35,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,13,CZECH REPUBLIC,29.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,15,"KOREA, REPUBLIC OF",29.7,17.82,,28,0
JZI,Airlines,Online,Basic Plan,92,INDONESIA,37.0,12.95,F,38,0
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,187.85,46.96,M,61,0
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,39.0,9.75,M,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,DENMARK,19.8,11.88,,62,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,AUSTRALIA,-9.9,5.94,,26,0
RAB,Airlines,Online,Value Plan,12,BRUNEI DARUSSALAM,15.0,6.0,F,52,0
EPX,Travel Agency,Online,Cancellation Plan,9,INDIA,24.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,2,SINGAPORE,10.0,0.0,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,THAILAND,20.0,0.0,,61,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,MALAYSIA,19.8,11.88,,31,0
EPX,Travel Agency,Online,Cancellation Plan,38,PHILIPPINES,14.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,64,INDIA,20.0,0.0,,27,0
ART,Airlines,Online,24 Protect,34,UNITED ARAB EMIRATES,57.24,20.03,M,48,0
EPX,Travel Agency,Online,Cancellation Plan,8,SINGAPORE,37.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,10,SINGAPORE,20.0,0.0,,56,0
EPX,Travel Agency,Online,Cancellation Plan,9,CHINA,22.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,AUSTRALIA,29.7,17.82,,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,83,VIET NAM,28.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,MALAYSIA,15.0,0.0,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,INDONESIA,25.0,0.0,,36,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,291.75,72.94,F,72,0
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,122,CHINA,50.5,32.83,M,80,0
JZI,Airlines,Online,Basic Plan,4,HONG KONG,22.0,7.7,M,44,0
EPX,Travel Agency,Online,Cancellation Plan,50,CHINA,14.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,23,CROATIA,47.0,0.0,,36,0
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,12,NEW ZEALAND,33.0,21.45,F,36,0
EPX,Travel Agency,Online,Cancellation Plan,9,CHINA,16.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,25,PHILIPPINES,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,5,THAILAND,22.0,0.0,,22,0
EPX,Travel Agency,Online,Cancellation Plan,114,NEW ZEALAND,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,171,"TAIWAN, PROVINCE OF CHINA",19.0,0.0,,57,0
EPX,Travel Agency,Online,Cancellation Plan,39,SINGAPORE,16.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,93,AUSTRALIA,29.7,17.82,,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,THAILAND,72.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,12,UNITED KINGDOM,80.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,31,CHINA,0.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,117,SINGAPORE,77.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,51,MALAYSIA,0.0,17.82,,31,0
C2B,Airlines,Online,Gold Plan,7,SINGAPORE,51.0,12.75,F,71,0
EPX,Travel Agency,Online,Cancellation Plan,52,SINGAPORE,11.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,CHINA,32.0,0.0,,36,0
TST,Travel Agency,Offline,Travel Cruise Protect,39,MALAYSIA,30.0,10.5,M,81,0
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,18.0,4.5,M,34,0
EPX,Travel Agency,Online,Cancellation Plan,16,MYANMAR,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,THAILAND,51.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,23,SINGAPORE,10.0,0.0,,43,0
JZI,Airlines,Online,Value Plan,92,JAPAN,58.0,20.3,M,56,0
EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,17.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,MACAO,112.0,0.0,,47,0
EPX,Travel Agency,Online,Cancellation Plan,19,SINGAPORE,39.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,35,ICELAND,49.5,29.7,,27,0
JWT,Airlines,Online,Value Plan,9,INDIA,50.0,20.0,M,118,0
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,47.0,11.75,F,25,0
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,80.6,20.15,M,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,48,HONG KONG,33.0,0.0,,58,0
JZI,Airlines,Online,Basic Plan,7,MYANMAR,18.0,6.3,F,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,NEW ZEALAND,59.4,35.64,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,NORWAY,59.4,35.64,,29,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,41,CANADA,19.8,11.88,,49,0
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,15.0,3.75,F,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,40,SWEDEN,29.7,17.82,,36,0
JZI,Airlines,Online,Basic Plan,20,HONG KONG,26.0,9.1,F,60,0
C2B,Airlines,Online,Bronze Plan,88,SINGAPORE,194.35,48.59,F,33,0
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,41.0,10.25,F,38,0
EPX,Travel Agency,Online,Cancellation Plan,37,SINGAPORE,10.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,DENMARK,-19.8,11.88,,53,0
JZI,Airlines,Online,Basic Plan,5,MALAYSIA,18.0,6.3,M,53,0
EPX,Travel Agency,Online,Cancellation Plan,92,INDONESIA,16.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,102,PHILIPPINES,29.0,0.0,,30,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,210,SINGAPORE,112.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,36,MYANMAR,18.0,6.3,F,43,0
EPX,Travel Agency,Online,Cancellation Plan,24,UNITED STATES,46.0,0.0,,31,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,26,TURKEY,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,CHINA,61.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,51,JAPAN,26.0,9.1,M,30,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,66,CANADA,41.0,0.0,,25,0
JZI,Airlines,Online,Basic Plan,78,PHILIPPINES,33.0,11.55,F,36,0
JZI,Airlines,Online,Basic Plan,29,VIET NAM,22.0,7.7,F,37,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,8,SINGAPORE,20.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,11.5,2.88,F,30,0
RAB,Airlines,Online,Value Plan,15,BRUNEI DARUSSALAM,23.0,9.2,M,60,0
C2B,Airlines,Online,Silver Plan,55,SINGAPORE,144.0,36.0,F,19,0
EPX,Travel Agency,Online,Cancellation Plan,55,ITALY,80.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,63,"KOREA, REPUBLIC OF",10.0,0.0,,24,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,THAILAND,20.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,36,AUSTRALIA,59.4,35.64,,52,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,THAILAND,30.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,15,AUSTRALIA,19.8,11.88,,38,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,THAILAND,24.0,0.0,,20,0
EPX,Travel Agency,Online,Cancellation Plan,7,INDIA,26.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,69.3,41.58,,35,0
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,41,0
JZI,Airlines,Online,Basic Plan,46,THAILAND,22.0,7.7,M,56,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,PHILIPPINES,50.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,90,JAPAN,33.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,6,VIET NAM,15.0,0.0,,36,0
C2B,Airlines,Online,Gold Plan,13,SINGAPORE,63.7,15.93,M,71,0
EPX,Travel Agency,Online,Cancellation Plan,10,INDONESIA,10.0,0.0,,46,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,71,AUSTRALIA,59.4,35.64,,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,28,AUSTRALIA,49.5,29.7,,45,0
EPX,Travel Agency,Online,Cancellation Plan,12,TURKEY,80.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,JAPAN,53.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,22.5,5.63,M,45,0
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,F,48,1
EPX,Travel Agency,Online,1 way Comprehensive Plan,8,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,14,MALAYSIA,12.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,36,SPAIN,80.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,60,CHINA,26.0,9.1,M,40,0
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,M,32,0
C2B,Airlines,Online,Bronze Plan,90,SINGAPORE,60.0,15.0,F,41,0
EPX,Travel Agency,Online,Cancellation Plan,30,CHINA,10.0,0.0,,26,0
EPX,Travel Agency,Online,Cancellation Plan,87,UNITED STATES,64.0,0.0,,27,0
C2B,Airlines,Online,Bronze Plan,1,SINGAPORE,13.5,3.38,F,50,0
JZI,Airlines,Online,Basic Plan,14,THAILAND,18.0,6.3,F,50,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,MALAYSIA,29.7,17.82,,42,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,162,PHILIPPINES,29.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,60.0,15.0,M,26,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,98,UNITED KINGDOM,69.3,41.58,,59,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,25,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,73,PHILIPPINES,13.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,"KOREA, REPUBLIC OF",30.0,0.0,,36,0
JWT,Airlines,Online,Value Plan,44,INDIA,124.0,49.6,M,118,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,CHINA,30.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,55.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,59,INDIA,41.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,F,52,0
C2B,Airlines,Online,Bronze Plan,108,SINGAPORE,32.0,8.0,F,23,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,UNITED KINGDOM,0.0,5.94,,47,0
JZI,Airlines,Online,Basic Plan,8,HONG KONG,26.0,9.1,M,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,54,UNITED ARAB EMIRATES,39.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,MALAYSIA,20.0,0.0,,57,0
JZI,Airlines,Online,Basic Plan,37,INDONESIA,22.0,7.7,M,78,0
EPX,Travel Agency,Online,Cancellation Plan,9,AUSTRALIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,"KOREA, REPUBLIC OF",80.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,HONG KONG,24.0,0.0,,36,0
KML,Travel Agency,Online,Premier Plan,84,BRAZIL,147.0,55.86,F,61,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,6,"TAIWAN, PROVINCE OF CHINA",22.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,41,HONG KONG,18.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,93,NEW ZEALAND,108.9,65.34,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,106,THAILAND,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,44,NEW ZEALAND,19.0,0.0,,36,0
JZI,Airlines,Online,Value Plan,4,HONG KONG,36.0,12.6,M,27,0
JZI,Airlines,Online,Value Plan,27,CHINA,58.0,20.3,M,46,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49,AUSTRALIA,69.3,41.58,,34,0
EPX,Travel Agency,Online,Cancellation Plan,7,INDONESIA,80.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,22,PHILIPPINES,15.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,0,SINGAPORE,0.51,0.14,,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,19.8,11.88,,31,0
EPX,Travel Agency,Online,Cancellation Plan,9,MALAYSIA,10.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,AUSTRALIA,59.4,35.64,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,CHINA,46.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,23,UNITED STATES,25.0,0.0,,57,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,15,UNITED STATES,39.6,23.76,,64,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,45,THAILAND,38.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,18.5,4.63,F,65,0
EPX,Travel Agency,Online,Cancellation Plan,120,MALAYSIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,168,JAPAN,25.0,0.0,,30,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,SPAIN,29.7,17.82,,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,INDIA,42.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,32,HONG KONG,30.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,74,"KOREA, REPUBLIC OF",40.0,0.0,,62,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,30.0,0.0,,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,MALAYSIA,49.5,29.7,,31,0
JZI,Airlines,Online,Basic Plan,21,MALAYSIA,22.0,7.7,F,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,HONG KONG,26.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,24,HONG KONG,26.0,9.1,M,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,HONG KONG,26.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,SINGAPORE,10.0,0.0,,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,0.0,11.88,,34,0
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,27.0,6.75,M,39,0
EPX,Travel Agency,Online,Cancellation Plan,71,MALAYSIA,10.0,0.0,,58,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,4,INDIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,INDONESIA,21.0,0.0,,26,0
JZI,Airlines,Online,Basic Plan,18,INDONESIA,22.0,7.7,M,63,0
C2B,Airlines,Online,Annual Silver Plan,388,SINGAPORE,216.0,54.0,F,25,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,259,CZECH REPUBLIC,0.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,HONG KONG,30.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,73,VIET NAM,16.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,143,PHILIPPINES,11.0,0.0,,36,0
KML,Travel Agency,Online,Value Plan,7,INDONESIA,28.0,10.64,M,48,0
EPX,Travel Agency,Online,Cancellation Plan,14,INDIA,38.0,0.0,,36,0
TST,Travel Agency,Offline,Travel Cruise Protect,47,THAILAND,30.0,10.5,F,79,0
EPX,Travel Agency,Online,Cancellation Plan,73,IRELAND,80.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,92,THAILAND,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,INDONESIA,21.0,0.0,,35,0
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,187.85,46.96,F,38,0
JZI,Airlines,Online,Value Plan,25,HONG KONG,83.0,29.05,F,30,0
EPX,Travel Agency,Online,Cancellation Plan,2,UNITED STATES,16.0,0.0,,37,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,102,UNITED STATES,0.0,65.34,,46,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,71,FRANCE,85.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,INDONESIA,66.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,35,CAMBODIA,23.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,16,BRUNEI DARUSSALAM,15.0,6.0,M,42,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,INDONESIA,22.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,41,CHINA,24.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,INDONESIA,20.0,0.0,,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,MALAYSIA,20.0,0.0,,38,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,1,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,45,AUSTRALIA,15.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,MALAYSIA,39.6,23.76,,46,0
JZI,Airlines,Online,Basic Plan,11,THAILAND,22.0,7.7,M,63,0
EPX,Travel Agency,Online,Cancellation Plan,76,UNITED STATES,15.0,0.0,,50,0
JZI,Airlines,Online,Basic Plan,83,PHILIPPINES,47.0,16.45,F,38,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,UNITED KINGDOM,66.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,9,HONG KONG,22.0,7.7,M,58,0
EPX,Travel Agency,Online,Cancellation Plan,15,THAILAND,18.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,3,SINGAPORE,10.0,0.0,,53,0
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,29.5,7.38,F,22,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,M,30,0
EPX,Travel Agency,Online,Cancellation Plan,4,PHILIPPINES,10.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,63.6,15.9,F,35,0
EPX,Travel Agency,Online,Cancellation Plan,35,CANADA,10.0,0.0,,24,0
EPX,Travel Agency,Online,Cancellation Plan,93,SINGAPORE,58.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,UNITED KINGDOM,87.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,72,CROATIA,80.0,0.0,,36,0
C2B,Airlines,Online,Gold Plan,24,SINGAPORE,146.25,36.56,F,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,30,AUSTRALIA,42.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,22.5,5.63,M,24,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,THAILAND,20.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,UNITED ARAB EMIRATES,49.5,29.7,,54,0
JZI,Airlines,Online,Basic Plan,64,INDONESIA,30.0,10.5,F,55,0
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,22.5,5.63,M,31,0
EPX,Travel Agency,Online,Cancellation Plan,43,INDIA,16.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,2,VIET NAM,10.0,0.0,,26,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,21,AUSTRALIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,16,FRANCE,37.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,36,INDONESIA,10.0,0.0,,27,0
JZI,Airlines,Online,Basic Plan,36,THAILAND,22.0,7.7,M,44,0
EPX,Travel Agency,Online,Cancellation Plan,43,UNITED STATES,10.0,0.0,,24,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,PHILIPPINES,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,56,INDONESIA,13.0,0.0,,64,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,72,ITALY,78.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,45,CHINA,50.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,21,PHILIPPINES,17.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,16.0,0.0,,48,0
EPX,Travel Agency,Online,Cancellation Plan,6,MALAYSIA,18.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,10,EGYPT,16.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,20,"KOREA, REPUBLIC OF",29.0,0.0,,44,0
JZI,Airlines,Online,Basic Plan,51,VIET NAM,22.0,7.7,M,67,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,AUSTRALIA,69.3,41.58,,58,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,AUSTRALIA,49.5,29.7,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,UNITED KINGDOM,22.0,0.0,,36,0
C2B,Airlines,Online,Annual Silver Plan,398,SINGAPORE,216.0,54.0,M,28,0
EPX,Travel Agency,Online,Cancellation Plan,8,THAILAND,10.0,0.0,,64,0
EPX,Travel Agency,Online,Cancellation Plan,58,HONG KONG,24.0,0.0,,35,0
JZI,Airlines,Online,Value Plan,8,CHINA,45.0,15.75,M,62,0
EPX,Travel Agency,Online,Cancellation Plan,61,JAPAN,18.0,0.0,,71,0
JZI,Airlines,Online,Value Plan,17,CHINA,45.0,15.75,M,65,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,THAILAND,22.0,0.0,,25,0
JZI,Airlines,Online,Basic Plan,8,CHINA,35.0,12.25,M,47,0
